▲ Next.js 16.2.2 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.0.101:3000
- Environments: .env.local
✓ Ready in 1396ms
- Experiments (use with caution):
  · clientTraceMetadata
  · optimizePackageImports
  · serverActions

○ Compiling /auth/login ...
 HEAD /auth/login 200 in 6.3s (next.js: 5.4s, application-code: 920ms)
 GET /auth/login 200 in 4.8s (next.js: 4.2s, application-code: 590ms)
✓ Finished filesystem cache database compaction in 12.6s
 GET /platform 200 in 819ms (next.js: 119ms, proxy.ts: 39ms, application-code: 661ms)
 GET /platform 200 in 852ms (next.js: 210ms, proxy.ts: 26ms, application-code: 615ms)
 GET /platform 200 in 912ms (next.js: 278ms, proxy.ts: 26ms, application-code: 608ms)
 GET /admin 200 in 901ms (next.js: 20ms, proxy.ts: 27ms, application-code: 854ms)
 GET /admin 200 in 900ms (next.js: 74ms, proxy.ts: 23ms, application-code: 802ms)
 GET /platform 200 in 901ms (next.js: 97ms, proxy.ts: 74ms, application-code: 730ms)
 GET /admin 200 in 861ms (next.js: 19ms, proxy.ts: 20ms, application-code: 822ms)
 GET /admin 200 in 881ms (next.js: 72ms, proxy.ts: 19ms, application-code: 790ms)
 GET /platform 200 in 882ms (next.js: 125ms, proxy.ts: 18ms, application-code: 739ms)
 GET /admin 200 in 838ms (next.js: 33ms, proxy.ts: 134ms, application-code: 671ms)
 GET /platform 200 in 783ms (next.js: 77ms, proxy.ts: 35ms, application-code: 671ms)
 GET /admin 200 in 784ms (next.js: 145ms, proxy.ts: 36ms, application-code: 603ms)
 GET /platform 200 in 784ms (next.js: 188ms, proxy.ts: 36ms, application-code: 560ms)
 GET /platform 200 in 776ms (next.js: 205ms, proxy.ts: 72ms, application-code: 499ms)
 GET /platform 200 in 921ms (next.js: 262ms, proxy.ts: 76ms, application-code: 583ms)
 GET /admin 200 in 920ms (next.js: 20ms, proxy.ts: 23ms, application-code: 877ms)
 GET /admin 200 in 987ms (next.js: 61ms, proxy.ts: 21ms, application-code: 904ms)
 GET /platform 200 in 989ms (next.js: 80ms, proxy.ts: 61ms, application-code: 848ms)
 GET /admin 200 in 941ms (next.js: 24ms, proxy.ts: 24ms, application-code: 893ms)
 GET /platform 200 in 1051ms (next.js: 137ms, proxy.ts: 21ms, application-code: 893ms)
 GET /admin 200 in 1055ms (next.js: 87ms, proxy.ts: 22ms, application-code: 947ms)
 GET /admin 200 in 995ms (next.js: 42ms, proxy.ts: 152ms, application-code: 801ms)
 GET /platform 200 in 875ms (next.js: 176ms, proxy.ts: 49ms, application-code: 650ms)
 GET /admin 200 in 880ms (next.js: 130ms, proxy.ts: 49ms, application-code: 700ms)
 GET /platform 200 in 884ms (next.js: 83ms, proxy.ts: 50ms, application-code: 752ms)
 GET /platform 200 in 1012ms (next.js: 225ms, proxy.ts: 32ms, application-code: 755ms)
 GET /platform 200 in 1092ms (next.js: 112ms, proxy.ts: 225ms, application-code: 756ms)
 GET /admin 200 in 1029ms (next.js: 21ms, proxy.ts: 23ms, application-code: 985ms)
 GET /admin 200 in 1142ms (next.js: 80ms, proxy.ts: 24ms, application-code: 1038ms)
 GET /platform 200 in 1138ms (next.js: 146ms, proxy.ts: 80ms, application-code: 912ms)
 GET /admin 200 in 974ms (next.js: 33ms, proxy.ts: 21ms, application-code: 921ms)
 GET /platform 200 in 1072ms (next.js: 102ms, proxy.ts: 20ms, application-code: 950ms)
 GET /admin 200 in 1089ms (next.js: 180ms, proxy.ts: 24ms, application-code: 885ms)
 GET /admin 200 in 1013ms (next.js: 98ms, proxy.ts: 182ms, application-code: 733ms)
 GET /platform 200 in 933ms (next.js: 70ms, proxy.ts: 176ms, application-code: 687ms)
 GET /platform 200 in 931ms (next.js: 166ms, proxy.ts: 175ms, application-code: 590ms)
 GET /admin 200 in 982ms (next.js: 115ms, proxy.ts: 175ms, application-code: 692ms)
 GET /platform 200 in 938ms (next.js: 210ms, proxy.ts: 139ms, application-code: 588ms)
 GET /platform 200 in 887ms (next.js: 130ms, proxy.ts: 210ms, application-code: 548ms)
 GET /admin 200 in 742ms (next.js: 19ms, proxy.ts: 19ms, application-code: 704ms)
 GET /admin 200 in 803ms (next.js: 53ms, proxy.ts: 20ms, application-code: 730ms)
 GET /platform 200 in 797ms (next.js: 126ms, proxy.ts: 53ms, application-code: 618ms)
 GET /admin 200 in 671ms (next.js: 25ms, proxy.ts: 27ms, application-code: 619ms)
 GET /platform 200 in 670ms (next.js: 83ms, proxy.ts: 22ms, application-code: 565ms)
 GET /admin 200 in 698ms (next.js: 117ms, proxy.ts: 20ms, application-code: 561ms)
 GET /admin 200 in 646ms (next.js: 48ms, proxy.ts: 101ms, application-code: 497ms)
 GET /platform 200 in 640ms (next.js: 68ms, proxy.ts: 104ms, application-code: 467ms)
 GET /platform 200 in 676ms (next.js: 96ms, proxy.ts: 105ms, application-code: 476ms)
 GET /admin 200 in 652ms (next.js: 115ms, proxy.ts: 83ms, application-code: 454ms)
 GET /platform 200 in 687ms (next.js: 59ms, proxy.ts: 130ms, application-code: 499ms)
 GET /platform 200 in 646ms (next.js: 45ms, proxy.ts: 123ms, application-code: 477ms)
 GET /admin 200 in 616ms (next.js: 13ms, proxy.ts: 14ms, application-code: 588ms)
 GET /admin 200 in 683ms (next.js: 52ms, proxy.ts: 16ms, application-code: 615ms)
 GET /platform 200 in 682ms (next.js: 63ms, proxy.ts: 52ms, application-code: 567ms)
 GET /admin 200 in 664ms (next.js: 18ms, proxy.ts: 54ms, application-code: 592ms)
 GET /platform 200 in 640ms (next.js: 78ms, proxy.ts: 16ms, application-code: 546ms)
 GET /admin 200 in 673ms (next.js: 84ms, proxy.ts: 49ms, application-code: 541ms)
 GET /admin 200 in 642ms (next.js: 65ms, proxy.ts: 76ms, application-code: 501ms)
 GET /platform 200 in 628ms (next.js: 60ms, proxy.ts: 98ms, application-code: 471ms)
 GET /platform 200 in 585ms (next.js: 91ms, proxy.ts: 61ms, application-code: 433ms)
 GET /admin 200 in 623ms (next.js: 128ms, proxy.ts: 62ms, application-code: 433ms)
 GET /platform 200 in 651ms (next.js: 56ms, proxy.ts: 118ms, application-code: 477ms)
 GET /platform 200 in 588ms (next.js: 46ms, proxy.ts: 90ms, application-code: 452ms)
 GET /admin 200 in 626ms (next.js: 16ms, proxy.ts: 14ms, application-code: 595ms)
 GET /admin 200 in 692ms (next.js: 44ms, proxy.ts: 14ms, application-code: 634ms)
 GET /platform 200 in 693ms (next.js: 35ms, proxy.ts: 79ms, application-code: 579ms)
 GET /admin 200 in 679ms (next.js: 23ms, proxy.ts: 52ms, application-code: 604ms)
 GET /platform 200 in 647ms (next.js: 55ms, proxy.ts: 23ms, application-code: 569ms)
 GET /admin 200 in 678ms (next.js: 65ms, proxy.ts: 55ms, application-code: 559ms)
 GET /admin 200 in 649ms (next.js: 60ms, proxy.ts: 62ms, application-code: 527ms)
 GET /platform 200 in 645ms (next.js: 90ms, proxy.ts: 57ms, application-code: 498ms)
 GET /platform 200 in 643ms (next.js: 90ms, proxy.ts: 56ms, application-code: 498ms)
 GET /admin 200 in 644ms (next.js: 125ms, proxy.ts: 52ms, application-code: 466ms)
 GET /platform 200 in 700ms (next.js: 21ms, proxy.ts: 159ms, application-code: 519ms)
 GET /platform 200 in 661ms (next.js: 51ms, proxy.ts: 60ms, application-code: 550ms)
 GET /admin 200 in 589ms (next.js: 16ms, proxy.ts: 14ms, application-code: 559ms)
 GET /admin 200 in 690ms (next.js: 44ms, proxy.ts: 15ms, application-code: 631ms)
 GET /platform 200 in 694ms (next.js: 22ms, proxy.ts: 81ms, application-code: 590ms)
 GET /admin 200 in 652ms (next.js: 19ms, proxy.ts: 51ms, application-code: 582ms)
 GET /platform 200 in 659ms (next.js: 63ms, proxy.ts: 21ms, application-code: 576ms)
 GET /admin 200 in 650ms (next.js: 78ms, proxy.ts: 50ms, application-code: 523ms)
 GET /admin 200 in 651ms (next.js: 60ms, proxy.ts: 71ms, application-code: 520ms)
 GET /platform 200 in 646ms (next.js: 57ms, proxy.ts: 102ms, application-code: 486ms)
 GET /platform 200 in 635ms (next.js: 93ms, proxy.ts: 59ms, application-code: 483ms)
 GET /admin 200 in 637ms (next.js: 127ms, proxy.ts: 55ms, application-code: 455ms)
 GET /platform 200 in 608ms (next.js: 12ms, proxy.ts: 111ms, application-code: 484ms)
 GET /platform 200 in 658ms (next.js: 112ms, proxy.ts: 71ms, application-code: 475ms)
 GET /admin 200 in 568ms (next.js: 16ms, proxy.ts: 15ms, application-code: 537ms)
 GET /admin 200 in 660ms (next.js: 53ms, proxy.ts: 14ms, application-code: 593ms)
 GET /platform 200 in 666ms (next.js: 23ms, proxy.ts: 83ms, application-code: 559ms)
 GET /admin 200 in 624ms (next.js: 24ms, proxy.ts: 48ms, application-code: 552ms)
 GET /platform 200 in 660ms (next.js: 62ms, proxy.ts: 54ms, application-code: 544ms)
 GET /admin 200 in 627ms (next.js: 66ms, proxy.ts: 61ms, application-code: 500ms)
 GET /admin 200 in 625ms (next.js: 56ms, proxy.ts: 65ms, application-code: 503ms)
 GET /platform 200 in 625ms (next.js: 85ms, proxy.ts: 65ms, application-code: 475ms)
 GET /platform 200 in 615ms (next.js: 106ms, proxy.ts: 55ms, application-code: 455ms)
 GET /admin 200 in 610ms (next.js: 132ms, proxy.ts: 50ms, application-code: 427ms)
 GET /platform 200 in 605ms (next.js: 12ms, proxy.ts: 87ms, application-code: 506ms)
 GET /platform 200 in 703ms (next.js: 111ms, proxy.ts: 16ms, application-code: 576ms)
 GET /admin 200 in 712ms (next.js: 17ms, proxy.ts: 16ms, application-code: 678ms)
 GET /admin 200 in 708ms (next.js: 48ms, proxy.ts: 12ms, application-code: 649ms)
 GET /platform 200 in 748ms (next.js: 18ms, proxy.ts: 85ms, application-code: 644ms)
 GET /admin 200 in 704ms (next.js: 29ms, proxy.ts: 49ms, application-code: 626ms)
 GET /platform 200 in 757ms (next.js: 67ms, proxy.ts: 61ms, application-code: 629ms)
 GET /admin 200 in 712ms (next.js: 86ms, proxy.ts: 52ms, application-code: 575ms)
 GET /platform 200 in 710ms (next.js: 173ms, proxy.ts: 63ms, application-code: 473ms)
 GET /admin 200 in 714ms (next.js: 145ms, proxy.ts: 64ms, application-code: 504ms)
 GET /platform 200 in 718ms (next.js: 154ms, proxy.ts: 109ms, application-code: 455ms)
 GET /admin 200 in 721ms (next.js: 251ms, proxy.ts: 80ms, application-code: 390ms)
 GET /platform 200 in 638ms (next.js: 12ms, proxy.ts: 153ms, application-code: 473ms)
 GET /platform 200 in 700ms (next.js: 22ms, proxy.ts: 42ms, application-code: 636ms)
 GET /admin 200 in 744ms (next.js: 15ms, proxy.ts: 19ms, application-code: 710ms)
 GET /admin 200 in 775ms (next.js: 53ms, proxy.ts: 15ms, application-code: 708ms)
 GET /platform 200 in 763ms (next.js: 19ms, proxy.ts: 67ms, application-code: 678ms)
 GET /platform 200 in 718ms (next.js: 78ms, proxy.ts: 22ms, application-code: 617ms)
 GET /platform 200 in 779ms (next.js: 61ms, proxy.ts: 71ms, application-code: 647ms)
 GET /platform 200 in 746ms (next.js: 97ms, proxy.ts: 68ms, application-code: 581ms)
 GET /platform 200 in 729ms (next.js: 152ms, proxy.ts: 122ms, application-code: 455ms)
 GET /platform 200 in 732ms (next.js: 123ms, proxy.ts: 122ms, application-code: 487ms)
 GET /platform 200 in 774ms (next.js: 155ms, proxy.ts: 119ms, application-code: 501ms)
 GET /platform 200 in 709ms (next.js: 116ms, proxy.ts: 118ms, application-code: 475ms)
 GET /platform 200 in 686ms (next.js: 15ms, proxy.ts: 147ms, application-code: 524ms)
 GET /platform 200 in 652ms (next.js: 56ms, proxy.ts: 11ms, application-code: 585ms)
 GET /platform 200 in 690ms (next.js: 20ms, proxy.ts: 27ms, application-code: 643ms)
 GET /platform 200 in 754ms (next.js: 48ms, proxy.ts: 26ms, application-code: 680ms)
 GET /platform 200 in 742ms (next.js: 25ms, proxy.ts: 92ms, application-code: 626ms)
 GET /platform 200 in 667ms (next.js: 60ms, proxy.ts: 23ms, application-code: 584ms)
 GET /platform 200 in 733ms (next.js: 68ms, proxy.ts: 59ms, application-code: 606ms)
 GET /platform 200 in 701ms (next.js: 62ms, proxy.ts: 67ms, application-code: 572ms)
 GET /platform 200 in 693ms (next.js: 88ms, proxy.ts: 61ms, application-code: 543ms)
 GET /platform 200 in 696ms (next.js: 121ms, proxy.ts: 60ms, application-code: 514ms)
 GET /platform 200 in 744ms (next.js: 161ms, proxy.ts: 83ms, application-code: 500ms)
 GET /platform 200 in 783ms (next.js: 55ms, proxy.ts: 189ms, application-code: 539ms)
 GET /platform 200 in 771ms (next.js: 15ms, proxy.ts: 100ms, application-code: 657ms)
 GET /platform 200 in 744ms (next.js: 46ms, proxy.ts: 12ms, application-code: 686ms)
 GET /platform 200 in 717ms (next.js: 18ms, proxy.ts: 13ms, application-code: 685ms)
 GET /platform 200 in 809ms (next.js: 51ms, proxy.ts: 11ms, application-code: 748ms)
 GET /platform 200 in 819ms (next.js: 24ms, proxy.ts: 90ms, application-code: 705ms)
 GET /platform 200 in 785ms (next.js: 57ms, proxy.ts: 58ms, application-code: 670ms)
 GET /platform 200 in 828ms (next.js: 100ms, proxy.ts: 104ms, application-code: 624ms)
 GET /platform 200 in 858ms (next.js: 63ms, proxy.ts: 145ms, application-code: 650ms)
 GET /platform 200 in 856ms (next.js: 91ms, proxy.ts: 144ms, application-code: 621ms)
 GET /platform 200 in 806ms (next.js: 121ms, proxy.ts: 94ms, application-code: 590ms)
 GET /platform 200 in 808ms (next.js: 84ms, proxy.ts: 136ms, application-code: 588ms)
 GET /platform 200 in 852ms (next.js: 113ms, proxy.ts: 135ms, application-code: 604ms)
 GET /platform 200 in 832ms (next.js: 11ms, proxy.ts: 24ms, application-code: 797ms)
 GET /platform 200 in 1017ms (next.js: 112ms, proxy.ts: 11ms, application-code: 894ms)
 GET /platform 200 in 959ms (next.js: 21ms, proxy.ts: 13ms, application-code: 924ms)
 GET /platform 200 in 1029ms (next.js: 55ms, proxy.ts: 15ms, application-code: 960ms)
